Band,Pop Rockstars,Punk Rock,Hardcore,Emo,Alternative Rock,Grunge,Heavy Metal,Nu-Metal
Meat Puppets,0,0,0,0,0,1,0,0
"Mudhoney
",0,0,0,0,0,1,0,0
The Jesus Lizard,0,0,0,0,0,1,0,0
Blind Melon,0,0,0,0,0,1,0,0
Hole,0,0,0,0,0,1,0,0
Alice In Chains,0,0,0,0,0,1,1,0
Pearl Jam,0,0,0,0,0,1,0,0
3 Doors Down,0,0,0,0,0,1,0,0
Mad Season,0,0,0,0,0,1,0,0
Sliverchair,0,0,0,0,0,1,0,0
Temple of Dog,0,0,0,0,0,1,0,0
Staind,0,0,0,0,0,1,0,0
Audioslave,0,0,0,0,1,1,0,0
Queens of the Stone Age,0,0,0,0,1,1,0,0
Deep Purple,0,0,0,0,0,0,1,0
Alice Cooper,0,0,0,0,0,0,1,0
Black Sabbath,0,0,0,0,0,0,1,0
Scorpions,0,0,0,0,0,0,1,0
Led Zeppelin,0,0,0,0,0,0,1,0
Judas Priest,0,0,0,0,0,0,1,0
Thin Lizzy,0,0,0,0,0,0,1,0
"AC/DC
",0,0,0,0,0,0,1,0
Kiss,0,0,0,0,0,0,1,0
Motörhead,0,0,0,0,0,0,1,0
Iron Maiden,0,0,0,0,0,0,1,0
"Def Leppard
",0,0,0,0,0,0,1,0
Whitesnake,0,0,0,0,0,0,1,0
Europe,0,0,0,0,0,0,1,0
Ozzy Osburne,0,0,0,0,0,0,1,0
Manowar,0,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,1,0
Mötley Crue,0,0,0,0,0,0,1,0
"Pantera
",0,0,0,0,0,0,1,0
Slayer,0,0,0,0,0,0,1,0
Napalm Death,0,0,0,0,0,0,1,0
Spinal Tap,0,0,0,0,0,0,1,0
Suicidal Tendencies,0,0,0,0,0,0,1,0
Halloween,0,0,0,0,0,0,1,0
Megadeath,0,0,0,0,0,0,1,0
Poison The Well,0,0,0,0,0,0,1,0
Sepultura,0,0,0,0,0,0,1,0
Nine Inch Nails,0,0,0,0,0,0,1,0
Cannibal Corpse,0,0,0,0,0,0,1,0
Labyrinth,0,0,0,0,0,0,1,0
Kyuss,0,0,0,0,0,0,1,0
Deftones,0,0,0,0,0,0,1,1
Korn,0,0,0,0,0,0,1,1
System Of a Down,0,0,0,0,0,0,1,1
Cradle of Filth,0,0,0,0,0,0,1,0
Rammstein,0,0,0,0,0,0,1,0
Rage Against the Machine,0,0,0,0,0,0,0,1
Limp Bizkit,0,0,0,0,0,0,0,1
Incubus,0,0,0,0,0,0,0,1
"P.O.D.
",0,0,0,0,0,0,0,1
Linkin Park,0,0,0,0,0,0,0,1
Siouxsie & The Banshees,0,0,0,0,1,0,0,0
Joy Division,0,0,0,0,1,0,0,0
Pulp,0,0,0,0,1,0,0,0
Dinosaur Jr,0,0,0,0,1,0,0,0
Depeche Mode,0,0,0,0,1,0,0,0
New Order,0,0,0,0,1,0,0,0
Suide,0,0,0,0,1,0,0,0
HIM,0,0,0,0,1,0,0,0
Bush,0,0,0,0,1,0,0,0
The Cardigans,0,0,0,0,1,0,0,0
Stereophonics,0,0,0,0,1,0,0,0
Garbage,0,0,0,0,1,0,0,0
Modest Mouse,0,0,0,0,1,0,0,0
Gorillaz,0,0,0,0,1,0,0,0
Belle and Sebastian,0,0,0,0,1,0,0,0
Supergrass,0,0,0,0,1,0,0,0
Ash,0,0,0,0,1,0,0,0
Weezer,0,0,0,0,1,0,0,0
Jimmy Eat World,0,0,0,0,1,0,0,0
"The Strokes
",0,0,0,0,1,0,0,0
